publisher,year,market_share_pct
Bold Games,2008,0.00536711034778875
Bold Games,2009,0.031874939368321885
Bomb,1982,0.3888987095633727
Bomb,1983,0.5861977084998669
Boost On,2013,0.0024769642326364794
Brash Entertainment,2007,0.03227144898805956
Brash Entertainment,2008,0.1368613138686131
Broccoli,2006,0.005392385951037141
Broccoli,2007,0.010757149662686519
Broccoli,2008,0.004025332760841562
Broccoli,2009,0.005543467716229892
Broccoli,2010,0.004589120724469193
Broccoli,2011,0.04347523650528661
Broccoli,2012,0.023476933912431053
Broccoli,2013,0.09907856930545918
Broccoli,2015,0.03472825143254039
Broccoli,2016,0.0456074340117439
Broccoli,2017,0.03126302626094205
Broccoli,2018,0.006758583400919165
Broderbund,1987,4.51559934318555
Buena Vista,2004,0.08566662157897108
Buena Vista,2005,0.28045264664927744
Buena Vista,2006,0.019772081820469516
BushiRoad,2012,0.007043080173729316
CBS Electronics,1982,0.5479936362029343
CBS Electronics,1983,0.8260058619770851
CCP,2003,0.05441369246370363
CDV Software Entertainment,2005,0.001961207319225716
CDV Software Entertainment,2008,0.016101331043366248
CDV Software Entertainment,2009,0.006929334645287366
CDV Software Entertainment,2010,0.047420914152848326
CDV Software Entertainment,2011,0.005217028380634393
CPG Products,1982,0.9545695598373694
CPG Products,1983,1.4388489208633095
CTO SpA,1996,0.40081985880209514
CTO SpA,1997,0.009037914049437388
Capcom,1985,1.8261504747991233
Capcom,1986,15.501968503937007
Capcom,1987,3.325123152709359
Capcom,1988,5.502526670409881
Capcom,1989,2.1753289045199944
Capcom,1990,7.3504594037127315
Capcom,1991,6.609365737996443
Capcom,1992,17.02463293289649
Capcom,1993,8.733777621887059
Capcom,1994,1.8982146521649903
Capcom,1995,0.33021463951568514
Capcom,1996,1.006604418127989
Capcom,1997,2.3995661801256265
Capcom,1998,2.2255752546208973
Capcom,1999,0.48400538496057455
Capcom,2000,1.2585190450307313
Capcom,2001,2.519618834080717
Capcom,2002,2.734227427276161
Capcom,2003,2.935866043382554
Capcom,2004,1.7291131250281797
Capcom,2005,2.7927592225774194
Capcom,2006,2.440953373836146
Capcom,2007,1.7534153950179017
Capcom,2008,2.031451266638042
Capcom,2009,2.860429341574626
Capcom,2010,2.306798017499848
Capcom,2011,1.5407623817473577
Capcom,2012,3.603709355558167
Capcom,2013,2.3977013771921114
Capcom,2014,0.0860099448998791
Capcom,2015,2.2191352665393302
Capcom,2016,1.995325238013795
Capcom,2017,2.094622759483117
Capcom,2018,2.2776426061097577
Capcom,2019,1.568627450980392
Capcom Entertainment,2018,0.121654501216545
Carbine Studios,2014,0.04300497244993954
Cave,2008,0.013417775869471875
Cave,2009,0.004157600787172419
Cave,2010,0.015297069081563978
Cave,2011,0.017390094602114645
Cave,2012,0.018781547129944842
Cave,2013,0.0024769642326364794
ChunSoft,1992,0.19415119524329572
ChunSoft,1993,1.3679410733076116
ChunSoft,1994,0.8311101990560228
ChunSoft,1995,0.7338103100348559
ChunSoft,1996,0.12297882031427919
ChunSoft,1998,0.030863139124172684
ChunSoft,1999,0.05449067247900507
ChunSoft,2000,0.15470167663168458
ChunSoft,2002,0.0850018889308651
ChunSoft,2006,0.005392385951037141
ChunSoft,2009,0.05959227794947134
ChunSoft,2010,0.006118827632625591
ChunSoft,2011,0.017390094602114645
ChunSoft,2012,0.014086160347458632
City Interactive,2008,0.06708887934735937
City Interactive,2009,0.06236401180758628
City Interactive,2010,0.3151196230802179
City Interactive,2011,0.22259321090706743
City Interactive,2013,0.16100267512137115
City Interactive,2014,0.01881467544684855
City Interactive,2017,0.2813672363484785
Cloud Imperium Games Corporation,2012,0.018781547129944842
Coconuts Japan,1993,0.08768853034023151
Coconuts Japan,1996,0.009109542245502162
Codemasters,1997,1.0755117718830491
Codemasters,1998,1.9135146256987063
Codemasters,1999,0.660298737098532
Codemasters,2000,0.42647489233599534
Codemasters,2001,0.4456278026905829
Codemasters,2002,0.4202871174914997
Codemasters,2003,0.9472929187999314
Codemasters,2004,0.22769286261779162
Codemasters,2005,0.1549353782188316
Codemasters,2006,0.07729086529819904
Codemasters,2007,0.479461527822599
Codemasters,2008,0.5273185916702444
